"","level","Overall","0","1","p","test","Missing"
"n","","243","232","11","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","57.70 [49.85, 63.92]","56.00 [51.55, 62.90]","0.880","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.51, 2.96]","2.23 [1.50, 2.96]","2.18 [1.71, 3.04]","0.860","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","5.00 [2.38, 16.33]","5.60 [2.10, 16.55]","0.910","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.40]","1.60 [1.50, 2.80]","0.839","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [127.00, 135.00]","133.00 [129.50, 134.50]","0.761","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","3.00 [2.60, 3.60]","3.70 [3.20, 4.30]","0.016","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.70 [2.00, 3.70]","2.30 [2.20, 3.20]","0.956","nonnorm","53.1"
"nsbb_dose_preadmission (median [IQR])","","16.25 [6.44, 40.00]","20.00 [6.38, 40.00]","12.50 [12.50, 12.50]","0.812","nonnorm","81.9"
"mido_dose_preadmission (median [IQR])","","15.00 [15.00, 30.00]","15.00 [15.00, 30.00]","12.50 [9.38, 18.75]","0.149","nonnorm","67.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.23 [0.88, 1.69]","1.43 [0.87, 2.37]","0.567","nonnorm","0.4"
"baseline_scr_days_to_admit (median [IQR])","","15.00 [4.00, 42.50]","15.00 [4.00, 44.25]","12.00 [0.50, 24.50]","0.348","nonnorm","0.0"
"transfer_aki_days_toadmit (median [IQR])","","6.00 [2.00, 10.00]","5.50 [2.00, 9.00]","17.50 [11.50, 21.25]","0.030","nonnorm","68.7"
"days_admit_to_aki (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","0.00 [0.00, 2.50]","0.851","nonnorm","1.2"
"aki_weight (median [IQR])","","83.90 [71.40, 99.45]","84.80 [71.50, 99.60]","74.40 [70.20, 82.05]","0.172","nonnorm","0.4"
"aki_height (median [IQR])","","170.20 [162.60, 177.80]","170.20 [162.60, 177.80]","170.20 [165.05, 180.30]","0.623","nonnorm","0.4"
"aki_hr (median [IQR])","","90.00 [79.00, 102.00]","90.50 [78.00, 102.00]","89.00 [85.00, 101.50]","0.573","nonnorm","3.3"
"aki_sbp (median [IQR])","","100.00 [91.00, 109.00]","100.00 [91.00, 109.00]","109.00 [101.00, 115.50]","0.081","nonnorm","3.3"
"aki_dbp (median [IQR])","","57.00 [51.00, 65.00]","57.00 [51.00, 65.00]","67.00 [58.50, 70.00]","0.018","nonnorm","3.3"
"aki_map (median [IQR])","","71.67 [64.67, 79.50]","71.00 [64.58, 79.08]","77.33 [73.66, 84.34]","0.026","nonnorm","3.3"
"aki_pao2 (median [IQR])","","86.00 [73.00, 112.00]","86.00 [73.00, 110.50]","79.00 [67.35, 121.95]","0.631","nonnorm","28.0"
"fio2_aki (median [IQR])","","0.21 [0.21, 21.00]","0.21 [0.21, 21.00]","0.27 [0.21, 21.00]","0.868","nonnorm","10.3"
"scr_aki (median [IQR])","","2.20 [1.63, 2.96]","2.21 [1.63, 2.96]","1.99 [1.64, 3.04]","0.868","nonnorm","0.0"
"bun_aki (median [IQR])","","40.00 [29.00, 58.25]","40.00 [29.00, 59.00]","40.00 [32.50, 51.05]","0.865","nonnorm","2.9"
"albumin_aki (median [IQR])","","2.95 [2.50, 3.40]","2.90 [2.50, 3.40]","3.20 [2.95, 4.15]","0.048","nonnorm","8.6"
"inr_aki (median [IQR])","","1.80 [1.50, 2.30]","1.80 [1.50, 2.30]","1.80 [1.60, 2.50]","0.775","nonnorm","15.2"
"wbc_aki (median [IQR])","","8.40 [6.20, 13.14]","8.48 [6.20, 13.29]","8.35 [7.28, 8.64]","0.426","nonnorm","7.0"
"plt_aki (median [IQR])","","94.50 [62.75, 158.25]","96.00 [64.00, 158.00]","76.00 [55.00, 158.50]","0.490","nonnorm","4.5"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","457.00 [439.00, 483.00]","454.50 [442.75, 489.50]","0.663","nonnorm","16.5"
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","4.00 [2.00, 18.50]","8.50 [3.50, 15.00]","0.848","nonnorm","27.2"
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","66.00 [62.50, 70.00]","70.00 [59.50, 71.50]","0.639","nonnorm","25.1"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [8.80, 14.00]","16.00 [16.00, 16.00]","0.131","nonnorm","68.3"
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","229.00 [2.67, 253.70]","2.50 [2.50, 2.50]","0.353","nonnorm","77.0"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.35 [-21.00, 22.95]","NA [NA, NA]","NA","nonnorm","88.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.05 [0.87, 1.30]","1.40 [1.40, 1.40]","0.338","nonnorm","56.8"
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","33.00 [27.75, 41.50]","35.00 [34.00, 35.00]","0.797","nonnorm","67.5"
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","30.00 [20.38, 40.00]","NA [NA, NA]","NA","nonnorm","90.9"
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","31.50 [24.75, 39.20]","41.00 [39.50, 43.36]","0.092","nonnorm","42.0"
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.67 [2.40, 3.00]","2.50 [2.50, 2.50]","0.728","nonnorm","87.7"
"totalalbumin_before_terli (median [IQR])","","200.00 [125.00, 350.00]","200.00 [125.00, 350.00]","200.00 [153.12, 281.25]","0.998","nonnorm","10.3"
"albvolume_before_terli (median [IQR])","","900.00 [500.00, 1500.00]","900.00 [500.00, 1500.00]","800.00 [612.50, 1200.00]","0.850","nonnorm","14.4"
"saline_vol_before_terli (median [IQR])","","1000.00 [289.15, 1500.00]","1000.00 [269.58, 1500.00]","750.00 [550.00, 1000.00]","0.882","nonnorm","62.6"
"lr_volume_before_terli (median [IQR])","","1250.00 [1000.00, 2000.00]","1250.00 [891.25, 2000.00]","5000.00 [4000.00, 6000.00]","0.034","nonnorm","74.9"
"other_cryst_before_terli (median [IQR])","","512.00 [500.00, 1000.00]","512.00 [500.00, 1000.00]","NA [NA, NA]","NA","nonnorm","97.9"
"prbc_qaunt_before_terli (median [IQR])","","2.00 [1.00, 3.00]","2.00 [1.00, 3.00]","1.00 [1.00, 1.50]","0.179","nonnorm","68.3"
"totalvolume_before_terli (median [IQR])","","4650.00 [1550.00, 9117.00]","4714.50 [1546.40, 9078.58]","3077.75 [1688.09, 6502.50]","0.585","nonnorm","14.0"
"total_uo_before_terli (median [IQR])","","2100.00 [605.00, 5162.50]","2097.50 [600.00, 5955.00]","2140.00 [1507.50, 3472.50]","0.872","nonnorm","16.5"
"days_first_mido_before_terli (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.00, 2.50]","0.601","nonnorm","28.4"
"days_total_mido_before_terli (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","6.00 [2.50, 6.75]","0.756","nonnorm","28.8"
"mido_maxdose_before_terli (median [IQR])","","30.00 [15.00, 45.00]","30.00 [18.75, 45.00]","22.50 [11.25, 30.00]","0.108","nonnorm","28.4"
