"","level","Overall","0","1","p","test","Missing"
"n","","243","233","10","","",""
"any_ae (%)","0","201 (82.7)","193 (82.8)","8 (80.0)","1.000","","0.0"
"","1","42 (17.3)","40 (17.2)","2 (20.0)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","225 (96.6)","10 (100.0)","1.000","exact","0.0"
"","1","8 (3.3)","8 (3.4)","0 (0.0)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","227 (97.4)","10 (100.0)","1.000","exact","0.0"
"","1","6 (2.5)","6 (2.6)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","230 (98.7)","10 (100.0)","1.000","exact","0.0"
"","1","3 (1.2)","3 (1.3)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","225 (96.6)","10 (100.0)","1.000","exact","0.0"
"","1","8 (3.3)","8 (3.4)","0 (0.0)","","",""
"terli_ae_brady (%)","0","237 (97.5)","227 (97.4)","10 (100.0)","1.000","exact","0.0"
"","1","6 (2.5)","6 (2.6)","0 (0.0)","","",""
"terli_7 (%)","0","228 (93.8)","220 (94.4)","8 (80.0)","0.120","exact","0.0"
"","1","15 (6.2)","13 (5.6)","2 (20.0)","","",""
"terli_8 (%)","0","240 (98.8)","230 (98.7)","10 (100.0)","1.000","exact","0.0"
"","1","3 (1.2)","3 (1.3)","0 (0.0)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","212 (91.0)","8 (80.0)","0.541","","0.0"
"","1","23 (9.5)","21 (9.0)","2 (20.0)","","",""
"serious_ae (%)","0","211 (86.8)","203 (87.1)","8 (80.0)","0.861","","0.0"
"","1","32 (13.2)","30 (12.9)","2 (20.0)","","",""
"comb_effusion_edema (%)","0","105 (53.6)","101 (53.2)","4 (66.7)","0.167","","19.3"
"","1","39 (19.9)","39 (20.5)","0 (0.0)","","",""
"","2","22 (11.2)","20 (10.5)","2 (33.3)","","",""
"","3","30 (15.3)","30 (15.8)","0 (0.0)","","",""
"ratio_albumin_b4terli (median [IQR])","","2.37 [1.38, 4.11]","2.40 [1.40, 4.15]","1.32 [0.76, 2.43]","0.075","nonnorm","10.7"
"ratio_albumin_total (median [IQR])","","0.73 [0.00, 1.64]","0.72 [0.00, 1.64]","1.15 [0.10, 1.67]","0.865","nonnorm","0.4"
