"","level","Overall","0","1","p","test","Missing"
"n","","243","211","32","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","57.60 [49.60, 63.95]","57.90 [52.37, 64.05]","0.557","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.51, 2.96]","2.23 [1.48, 2.94]","2.59 [1.67, 3.01]","0.461","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","4.95 [2.32, 16.30]","8.20 [2.60, 20.90]","0.371","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.22]","2.40 [1.63, 2.60]","0.035","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [127.00, 135.00]","131.00 [129.00, 136.00]","0.685","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","3.00 [2.70, 3.60]","2.85 [2.20, 3.35]","0.053","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.70 [2.00, 3.73]","2.25 [1.95, 3.53]","0.730","nonnorm","53.1"
"nsbb_dose_preadmission (median [IQR])","","16.25 [6.44, 40.00]","12.50 [6.44, 40.00]","22.50 [10.94, 48.75]","0.529","nonnorm","81.9"
"mido_dose_preadmission (median [IQR])","","15.00 [15.00, 30.00]","15.00 [11.25, 30.00]","15.00 [15.00, 25.00]","0.606","nonnorm","67.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.21 [0.87, 1.70]","1.32 [0.89, 1.73]","0.514","nonnorm","0.4"
"baseline_scr_days_to_admit (median [IQR])","","15.00 [4.00, 42.50]","15.00 [4.00, 41.00]","21.00 [1.75, 59.00]","0.546","nonnorm","0.0"
"transfer_aki_days_toadmit (median [IQR])","","6.00 [2.00, 10.00]","7.00 [2.00, 10.00]","5.00 [3.00, 7.00]","0.981","nonnorm","68.7"
"days_admit_to_aki (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","0.00 [0.00, 2.25]","0.287","nonnorm","1.2"
"aki_weight (median [IQR])","","83.90 [71.40, 99.45]","83.00 [70.80, 98.68]","87.75 [74.90, 100.60]","0.353","nonnorm","0.4"
"aki_height (median [IQR])","","170.20 [162.60, 177.80]","171.10 [165.02, 177.80]","167.60 [160.00, 175.07]","0.115","nonnorm","0.4"
"aki_hr (median [IQR])","","90.00 [79.00, 102.00]","91.00 [80.00, 102.00]","84.00 [68.50, 96.50]","0.017","nonnorm","3.3"
"aki_sbp (median [IQR])","","100.00 [91.00, 109.00]","101.00 [92.00, 109.00]","96.00 [89.50, 107.00]","0.369","nonnorm","3.3"
"aki_dbp (median [IQR])","","57.00 [51.00, 65.00]","58.00 [51.00, 65.00]","55.00 [45.50, 64.00]","0.132","nonnorm","3.3"
"aki_map (median [IQR])","","71.67 [64.67, 79.50]","71.67 [65.00, 80.08]","68.00 [61.00, 76.83]","0.194","nonnorm","3.3"
"aki_pao2 (median [IQR])","","86.00 [73.00, 112.00]","86.00 [73.00, 112.00]","79.00 [69.00, 96.00]","0.086","nonnorm","28.0"
"fio2_aki (median [IQR])","","0.21 [0.21, 21.00]","0.21 [0.21, 21.00]","21.00 [0.21, 21.00]","0.067","nonnorm","10.3"
"scr_aki (median [IQR])","","2.20 [1.63, 2.96]","2.19 [1.65, 2.91]","2.68 [1.52, 3.09]","0.779","nonnorm","0.0"
"bun_aki (median [IQR])","","40.00 [29.00, 58.25]","40.00 [29.00, 58.75]","39.00 [29.00, 57.50]","0.968","nonnorm","2.9"
"albumin_aki (median [IQR])","","2.95 [2.50, 3.40]","3.00 [2.60, 3.48]","2.85 [1.90, 3.00]","0.030","nonnorm","8.6"
"inr_aki (median [IQR])","","1.80 [1.50, 2.30]","1.80 [1.50, 2.30]","2.15 [1.50, 2.50]","0.208","nonnorm","15.2"
"wbc_aki (median [IQR])","","8.40 [6.20, 13.14]","8.50 [6.30, 13.30]","7.20 [6.05, 11.63]","0.377","nonnorm","7.0"
"plt_aki (median [IQR])","","94.50 [62.75, 158.25]","99.00 [67.00, 162.00]","70.00 [48.50, 105.00]","0.011","nonnorm","4.5"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","457.00 [435.75, 486.00]","459.00 [446.00, 473.00]","0.849","nonnorm","16.5"
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","4.00 [2.00, 18.50]","5.50 [3.00, 10.75]","0.657","nonnorm","27.2"
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","66.00 [62.50, 70.00]","67.50 [64.00, 71.50]","0.353","nonnorm","25.1"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [8.80, 14.00]","12.80 [10.38, 15.10]","0.332","nonnorm","68.3"
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","220.00 [2.50, 252.00]","250.00 [86.40, 280.00]","0.197","nonnorm","77.0"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-17.90 [-21.00, 23.70]","-20.70 [-23.30, -20.50]","0.128","nonnorm","88.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.05 [0.86, 1.30]","1.16 [0.99, 1.42]","0.189","nonnorm","56.8"
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","33.00 [28.00, 41.00]","34.50 [27.25, 41.50]","0.962","nonnorm","67.5"
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","31.00 [29.00, 43.25]","23.25 [17.38, 30.25]","0.324","nonnorm","90.9"
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","32.00 [24.80, 40.00]","33.45 [27.50, 37.31]","0.764","nonnorm","42.0"
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.67 [2.40, 3.05]","2.26 [2.09, 2.48]","0.089","nonnorm","87.7"
"totalalbumin_before_terli (median [IQR])","","200.00 [125.00, 350.00]","200.00 [118.75, 350.00]","250.00 [175.00, 356.25]","0.150","nonnorm","10.3"
"albvolume_before_terli (median [IQR])","","900.00 [500.00, 1500.00]","800.00 [500.00, 1475.00]","1025.00 [740.00, 1500.00]","0.143","nonnorm","14.4"
"saline_vol_before_terli (median [IQR])","","1000.00 [289.15, 1500.00]","1000.00 [328.30, 1500.00]","775.00 [312.50, 1191.15]","0.576","nonnorm","62.6"
"lr_volume_before_terli (median [IQR])","","1250.00 [1000.00, 2000.00]","1469.31 [1000.00, 2075.00]","1100.00 [891.25, 1375.00]","0.640","nonnorm","74.9"
"other_cryst_before_terli (median [IQR])","","512.00 [500.00, 1000.00]","512.00 [500.00, 1000.00]","NA [NA, NA]","NA","nonnorm","97.9"
"prbc_qaunt_before_terli (median [IQR])","","2.00 [1.00, 3.00]","2.00 [1.00, 3.00]","2.75 [1.00, 3.25]","0.712","nonnorm","68.3"
"totalvolume_before_terli (median [IQR])","","4650.00 [1550.00, 9117.00]","4659.15 [1541.90, 8909.25]","4580.00 [2582.00, 10000.00]","0.521","nonnorm","14.0"
"total_uo_before_terli (median [IQR])","","2100.00 [605.00, 5162.50]","2006.50 [600.00, 4643.75]","2784.00 [875.00, 6136.00]","0.336","nonnorm","16.5"
"days_first_mido_before_terli (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","0.737","nonnorm","28.4"
"days_total_mido_before_terli (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","4.00 [2.00, 8.00]","0.493","nonnorm","28.8"
"mido_maxdose_before_terli (median [IQR])","","30.00 [15.00, 45.00]","30.00 [15.00, 45.00]","30.00 [20.00, 45.00]","0.610","nonnorm","28.4"
"days_first_oct_before_terli (median [IQR])","","1.00 [0.00, 5.75]","1.00 [0.00, 6.00]","1.00 [0.00, 1.75]","0.208","nonnorm","49.8"
"days_total_oct_before_terli (median [IQR])","","4.00 [2.00, 8.75]","4.50 [1.75, 8.25]","3.50 [2.00, 8.25]","0.758","nonnorm","49.8"
"oct_maxdose_before_terli (median [IQR])","","300.00 [100.00, 600.00]","300.00 [100.00, 600.00]","250.00 [112.50, 600.00]","0.879","nonnorm","49.8"
"days_first_ne_before_terli (median [IQR])","","1.00 [0.00, 2.75]","1.00 [0.00, 4.00]","1.00 [0.00, 1.00]","0.559","nonnorm","86.0"
"days_total_ne_before_terli (median [IQR])","","4.00 [2.00, 10.75]","5.00 [2.00, 11.00]","3.00 [2.00, 4.00]","0.826","nonnorm","86.0"
"days_to_gihep_consult (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [0.00, 2.00]","0.700","nonnorm","10.7"
"days_to_neph_consult (median [IQR])","","2.00 [1.00, 5.00]","2.00 [1.00, 5.00]","2.00 [1.00, 6.50]","0.464","nonnorm","10.3"
"days_to_pall_consult (median [IQR])","","9.00 [3.75, 16.00]","9.00 [3.25, 16.00]","11.50 [5.25, 16.50]","0.621","nonnorm","67.1"
"days_ua_hrs (median [IQR])","","1.00 [0.00, 3.25]","1.00 [0.00, 4.00]","1.00 [0.00, 2.00]","0.524","nonnorm","7.8"
"days_ua_na_hrs (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.50, 4.00]","1.000","nonnorm","14.0"
"ua_na_value_hrs (median [IQR])","","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","0.512","nonnorm","14.0"
"days_ua_cr_hrs (median [IQR])","","1.00 [1.00, 5.00]","1.00 [1.00, 5.00]","1.00 [1.00, 3.50]","0.834","nonnorm","28.8"
"ua_cr_value_hrs (median [IQR])","","128.00 [93.00, 171.00]","133.50 [93.25, 171.00]","113.50 [93.30, 159.96]","0.433","nonnorm","28.8"
"days_ua_urea_hrs (median [IQR])","","1.00 [0.00, 6.00]","2.00 [0.00, 7.00]","1.00 [0.00, 2.00]","0.211","nonnorm","64.6"
"ua_urea_value_hrs (median [IQR])","","512.50 [396.25, 651.00]","499.00 [384.00, 637.00]","630.00 [463.00, 724.00]","0.124","nonnorm","64.6"
"feurea_hrs (median [IQR])","","21.19 [14.44, 29.70]","21.41 [14.64, 29.45]","21.04 [14.17, 34.60]","0.775","nonnorm","68.3"
"ua_rbc_hrs (median [IQR])","","2.00 [0.75, 10.00]","2.00 [1.00, 10.00]","3.50 [0.00, 10.75]","0.762","nonnorm","22.6"
"uaprotein_hrs (median [IQR])","","2.00 [0.13, 50.00]","1.68 [0.11, 50.00]","2.00 [0.50, 30.00]","0.781","nonnorm","50.2"
"temp_terli_day0 (median [IQR])","","36.60 [36.40, 36.80]","36.60 [36.40, 36.80]","36.70 [36.58, 36.80]","0.267","nonnorm","0.0"
"hr_terli_day0 (median [IQR])","","80.00 [67.00, 90.50]","80.00 [69.00, 91.00]","76.50 [63.50, 84.50]","0.096","nonnorm","0.0"
"pao2_terli_day0 (median [IQR])","","88.00 [79.00, 112.00]","90.60 [79.00, 112.00]","86.00 [74.50, 104.20]","0.324","nonnorm","24.3"
"fio2_terli_day0 (median [IQR])","","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.259","nonnorm","6.2"
"sbp_terli_day0_time0 (median [IQR])","","106.00 [98.00, 117.00]","106.00 [97.75, 117.00]","106.00 [99.00, 118.00]","0.808","nonnorm","10.7"
"map_terli_day0_time0 (median [IQR])","","73.16 [66.08, 80.33]","73.33 [65.84, 80.50]","72.67 [67.50, 80.00]","0.843","nonnorm","0.4"
"chloride_terli_day0 (median [IQR])","","101.00 [96.00, 105.00]","101.00 [96.00, 105.00]","101.50 [95.00, 107.00]","0.856","nonnorm","0.0"
"bicarb_terli_day0 (median [IQR])","","19.00 [16.00, 21.00]","19.00 [16.00, 21.00]","19.50 [17.75, 22.00]","0.130","nonnorm","2.1"
"scr_terli_day0 (median [IQR])","","2.79 [2.27, 3.57]","2.77 [2.29, 3.59]","2.92 [2.17, 3.23]","0.945","nonnorm","0.0"
"bun_terli_day0 (median [IQR])","","54.00 [39.00, 71.00]","53.00 [39.00, 71.00]","55.50 [38.50, 67.75]","0.835","nonnorm","0.8"
"ast_terli_day0 (median [IQR])","","51.50 [33.00, 85.25]","55.00 [33.00, 86.00]","48.00 [38.00, 80.00]","0.970","nonnorm","6.2"
"alt_terli_day0 (median [IQR])","","23.00 [15.00, 34.25]","23.00 [15.00, 35.00]","21.00 [13.50, 30.50]","0.479","nonnorm","6.2"
"bili_terli_day0 (median [IQR])","","5.60 [2.58, 17.32]","5.00 [2.50, 16.60]","8.70 [4.35, 21.55]","0.251","nonnorm","6.2"
"alb_terli_day0 (median [IQR])","","3.50 [3.10, 3.82]","3.50 [3.10, 3.80]","3.30 [3.10, 3.85]","0.460","nonnorm","6.2"
"inr_terli_day0 (median [IQR])","","2.10 [1.70, 2.56]","2.00 [1.60, 2.51]","2.40 [1.85, 2.75]","0.075","nonnorm","19.8"
"wbc_terli_day0 (median [IQR])","","7.30 [5.00, 11.36]","7.30 [5.05, 11.55]","6.60 [4.96, 10.16]","0.431","nonnorm","3.7"
"hgb_terli_day0 (median [IQR])","","8.00 [7.40, 8.95]","8.10 [7.50, 9.00]","7.55 [7.27, 8.60]","0.067","nonnorm","1.6"
"Discont_Day (median [IQR])","","3.00 [2.00, 5.00]","3.00 [2.00, 6.00]","2.00 [1.00, 4.00]","0.003","nonnorm","0.0"
"na_terli_day0 (median [IQR])","","133.00 [129.00, 136.00]","132.00 [129.00, 136.00]","135.00 [130.50, 136.25]","0.168","nonnorm","0.0"
"days_to_terli_initiation_day0 (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","4.00 [2.00, 8.25]","0.730","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.38 [36.19, 47.82]","40.68 [36.15, 47.79]","42.35 [38.45, 48.72]","0.375","nonnorm","3.7"
"admit_meld (median [IQR])","","27.00 [22.00, 33.00]","27.00 [21.25, 32.00]","31.00 [25.00, 33.00]","0.076","nonnorm","3.3"
"admit_meld_na (median [IQR])","","30.00 [26.00, 34.00]","30.00 [26.00, 34.00]","33.00 [27.00, 34.00]","0.198","nonnorm","4.5"
"admit_meld_3 (median [IQR])","","31.00 [27.00, 37.00]","31.00 [26.50, 36.00]","33.50 [29.00, 37.00]","0.169","nonnorm","0.0"
"admit_meld_3_raw (median [IQR])","","31.00 [26.00, 37.00]","31.00 [26.00, 37.00]","34.00 [28.25, 37.00]","0.160","nonnorm","4.1"
"day0_meld (median [IQR])","","32.00 [26.00, 37.00]","31.00 [26.00, 37.00]","33.00 [30.75, 38.00]","0.158","nonnorm","21.8"
"day0_meld_na (median [IQR])","","34.00 [28.00, 38.00]","33.00 [27.25, 37.00]","35.00 [30.75, 38.00]","0.298","nonnorm","21.8"
"day0_meld_3 (median [IQR])","","35.00 [29.00, 39.75]","35.00 [28.50, 39.50]","37.00 [32.00, 40.00]","0.395","nonnorm","23.5"
"time_to_transplant (median [IQR])","","20.00 [11.00, 41.75]","21.00 [11.00, 42.00]","14.00 [14.00, 16.00]","0.673","nonnorm","71.2"
"","1","103 (42.4)","89 (42.2)","14 (43.8)","","",""
"","1","103 (42.4)","89 (42.2)","14 (43.8)","","",""
"time_to_death_90days (median [IQR])","","90.00 [22.00, 90.00]","90.00 [25.50, 90.00]","60.00 [12.75, 90.00]","0.154","nonnorm","0.0"
"cystatinc_admit (median [IQR])","","2.89 [2.53, 3.54]","2.99 [2.60, 3.62]","2.83 [1.90, 2.89]","0.269","nonnorm","86.4"
"cystatinc_aki (median [IQR])","","2.71 [2.22, 3.54]","2.87 [2.42, 3.78]","1.90 [1.84, 2.83]","0.126","nonnorm","92.2"
"cystatinc_terli_day0 (median [IQR])","","2.91 [2.49, 3.54]","2.95 [2.58, 3.67]","2.62 [1.86, 2.94]","0.177","nonnorm","89.3"
"urine_pc (median [IQR])","","0.07 [0.00, 0.47]","0.10 [0.00, 0.47]","0.02 [0.01, 0.28]","0.893","nonnorm","56.8"
"fena (median [IQR])","","0.21 [0.12, 0.34]","0.21 [0.12, 0.34]","0.21 [0.11, 0.36]","0.901","nonnorm","34.2"
"fena_hrs (median [IQR])","","0.22 [0.14, 0.35]","0.22 [0.14, 0.35]","0.22 [0.12, 0.34]","0.695","nonnorm","31.7"
"total_albumin (median [IQR])","","62.50 [0.00, 125.00]","50.00 [0.00, 125.00]","75.00 [1.88, 128.12]","0.601","nonnorm","0.0"
"admit_admitservice (%)","1","103 (42.4)","89 (42.2)","14 (43.8)","0.052","","0.0"
