"","level","Overall","0","1","p","test","Missing"
"n","","243","220","23","","",""
"any_ae (%)","0","201 (82.7)","201 (91.4)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","19 (8.6)","23 (100.0)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","213 (96.8)","22 (95.7)","1.000","","0.0"
"","1","8 (3.3)","7 (3.2)","1 (4.3)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","214 (97.3)","23 (100.0)","0.924","","0.0"
"","1","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","217 (98.6)","23 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","220 (100.0)","15 (65.2)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (34.8)","","",""
"terli_ae_brady (%)","0","237 (97.5)","214 (97.3)","23 (100.0)","0.924","","0.0"
"","1","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"terli_7 (%)","0","228 (93.8)","220 (100.0)","8 (34.8)","<0.001","","0.0"
"","1","15 (6.2)","0 (0.0)","15 (65.2)","","",""
"terli_8 (%)","0","240 (98.8)","217 (98.6)","23 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"serious_ae (%)","0","211 (86.8)","211 (95.9)","0 (0.0)","<0.001","","0.0"
"","1","32 (13.2)","9 (4.1)","23 (100.0)","","",""
"comb_effusion_edema (%)","0","105 (53.6)","100 (55.9)","5 (29.4)","0.042","","19.3"
"","1","39 (19.9)","34 (19.0)","5 (29.4)","","",""
"","2","22 (11.2)","21 (11.7)","1 (5.9)","","",""
"","3","30 (15.3)","24 (13.4)","6 (35.3)","","",""
"ratio_albumin_b4terli (median [IQR])","","2.37 [1.38, 4.11]","2.34 [1.37, 4.03]","3.26 [1.75, 4.29]","0.206","nonnorm","10.7"
"ratio_albumin_total (median [IQR])","","0.73 [0.00, 1.64]","0.68 [0.00, 1.62]","1.18 [0.65, 2.12]","0.037","nonnorm","0.4"
